"R1"	"R2"	"R3"	"R4"	"R7"	"R8"	"R9"	"R10"	"R13"	"R15"	"R16"	"R19"	"R20"	"R21"
"16174"	0	13	2	32	0	21	4	15	1	0	42	5	74	104
"110895"	42	556	137	553	20	329	95	796	59	79	541	318	582	1030
"226999"	1475	3474	919	1216	1075	3089	1679	1239	1572	1080	931	557	2558	1504
"211798"	759	1385	445	427	516	1212	667	699	808	498	335	132	884	437
"381339"	11	2	9	4	13	12	15	12	38	10	20	0	23	6
"74897"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"66297"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"18993"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"73100"	1	0	1	0	0	0	0	0	0	2	0	0	0	0
"69527"	2001	1485	1523	1340	1612	1286	2064	1677	1751	1134	1457	347	1264	1168
"93690"	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"73122"	796	1052	564	978	697	1040	836	1611	886	541	1202	154	1068	926
"98404"	562	651	491	926	457	634	639	1398	776	466	827	105	632	726
"14200"	1217	1968	1502	2316	1033	2085	2907	3009	1743	1381	1808	266	2648	2146
"666642"	1941	1600	964	1698	1552	1023	1469	1447	1334	524	1115	65	1099	1340
"17974"	1524	1494	1106	1392	1361	1347	1713	2260	1721	1004	1373	191	1780	1408
"100861934"	8	17	6	12	9	3	14	3	10	10	22	3	10	13
"78896"	0	0	1	1	1	1	0	0	0	2	0	0	5	0
"67883"	361	346	328	401	268	344	493	683	355	244	484	75	428	500
"100503192"	985	1576	1012	980	895	960	761	1837	883	817	932	283	946	979
"22019"	2236	3466	2598	3598	1943	3098	2578	5403	3084	2855	4622	1062	3369	3992
"433294"	0	0	3	1	1	0	0	0	1	0	2	0	1	1
"75623"	697	540	468	738	506	453	687	799	640	384	862	94	647	612
"72050"	547	430	515	722	368	440	684	1060	553	445	754	83	509	578
"246229"	675	819	710	1187	586	725	934	2055	928	728	961	203	807	919
"22592"	454	899	452	761	350	481	555	1113	499	420	992	235	568	1205
"100861960"	0	0	0	0	0	0	0	0	0	0	1	0	0	1
"403183"	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"70676"	1	161	23	277	0	27	8	228	0	5	106	74	69	474
"75066"	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"12825"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"12832"	0	0	0	1	0	0	0	1	0	0	0	0	2	1
"73674"	1423	1279	1231	2341	1221	1263	1695	3539	1401	1033	2788	500	1639	2139
"433297"	1217	1826	829	1251	848	2157	1703	1294	1325	809	1531	465	2024	1987
"53945"	2607	3586	2380	2767	243	2543	1930	1605	1273	2671	1492	1805	3031	8528
"100042453"	8	8	5	8	3	12	6	3	9	3	7	0	14	14
"212225"	0	1	0	2	0	1	0	1	0	0	2	0	1	1
"227058"	1	89	11	403	0	64	11	487	6	8	207	26	142	382
"100101919"	0	46	5	114	1	21	14	183	2	1	57	9	37	119
